date,port,temperature_mean,precipitation_sum,wind_speed_max,storm_alert,heavy_rain_alert,weather_risk_score
2025-07-06,Hamburg,19.0,9.0,17.4,0,0,0.0
2025-07-07,Hamburg,16.2,14.5,17.1,0,0,0.0
2025-07-08,Hamburg,15.2,1.6,20.0,0,0,0.0
2025-07-09,Hamburg,16.7,0.7,19.2,0,0,0.0
2025-07-10,Hamburg,17.2,0.5,12.4,0,0,0.0
2025-07-11,Hamburg,18.0,0.2,18.0,0,0,0.0
2025-07-12,Hamburg,18.1,3.6,17.4,0,0,0.0
2025-07-13,Hamburg,17.7,4.8,13.1,0,0,0.0
2025-07-14,Hamburg,19.3,0.1,11.5,0,0,0.0
2025-07-15,Hamburg,17.8,3.5,17.5,0,0,0.0
2025-07-16,Hamburg,16.8,1.5,10.7,0,0,0.0
2025-07-17,Hamburg,17.7,6.2,19.5,0,0,0.0
2025-07-18,Hamburg,19.5,2.5,10.6,0,0,0.0
2025-07-19,Hamburg,21.2,0.0,11.6,0,0,0.0
2025-07-20,Hamburg,22.4,1.6,13.6,0,0,0.0
2025-07-21,Hamburg,19.9,3.5,10.5,0,0,0.0
2025-07-22,Hamburg,17.3,14.9,18.6,0,0,0.0
2025-07-23,Hamburg,17.7,26.4,30.1,0,0,0.0
2025-07-24,Hamburg,19.5,10.4,14.5,0,0,0.0
2025-07-25,Hamburg,19.2,3.6,15.6,0,0,0.0
2025-07-26,Hamburg,18.9,0.4,11.4,0,0,0.0
2025-07-27,Hamburg,17.7,7.5,13.9,0,0,0.0
2025-07-28,Hamburg,17.9,0.9,19.3,0,0,0.0
2025-07-29,Hamburg,16.2,2.6,19.1,0,0,0.0
2025-07-30,Hamburg,15.2,7.1,19.7,0,0,0.0
2025-07-31,Hamburg,16.2,37.1,26.4,0,0,0.0
2025-08-01,Hamburg,16.6,4.4,14.8,0,0,0.0
2025-08-02,Hamburg,16.3,3.1,14.9,0,0,0.0
2025-08-03,Hamburg,15.6,9.3,18.4,0,0,0.0
2025-08-04,Hamburg,18.3,7.0,18.6,0,0,0.0
2025-08-05,Hamburg,17.2,4.0,23.4,0,0,0.0
2025-08-06,Hamburg,15.7,1.2,23.3,0,0,0.0
2025-08-07,Hamburg,18.2,0.0,14.7,0,0,0.0
2025-08-08,Hamburg,19.2,0.2,16.2,0,0,0.0
2025-08-09,Hamburg,19.0,0.0,14.3,0,0,0.0
2025-08-10,Hamburg,17.6,0.0,17.4,0,0,0.0
2025-08-11,Hamburg,17.3,0.0,6.0,0,0,0.0
2025-08-12,Hamburg,20.7,0.0,13.5,0,0,0.0
2025-08-13,Hamburg,23.6,0.0,11.3,0,0,0.0
2025-08-14,Hamburg,25.2,0.0,11.1,0,0,0.0
2025-08-15,Hamburg,22.9,0.0,18.5,0,0,0.0
2025-08-16,Hamburg,18.4,0.0,19.8,0,0,0.0
2025-08-17,Hamburg,18.5,0.0,14.1,0,0,0.0
2025-08-18,Hamburg,19.3,0.0,6.7,0,0,0.0
2025-08-19,Hamburg,19.2,0.0,15.7,0,0,0.0
2025-08-20,Hamburg,18.3,0.3,16.0,0,0,0.0
2025-08-21,Hamburg,15.8,0.1,17.5,0,0,0.0
2025-08-22,Hamburg,14.6,0.3,22.9,0,0,0.0
2025-08-23,Hamburg,14.9,1.0,19.5,0,0,0.0
2025-08-24,Hamburg,14.1,0.6,20.1,0,0,0.0
2025-08-25,Hamburg,15.3,0.1,17.8,0,0,0.0
2025-08-26,Hamburg,17.0,0.1,11.4,0,0,0.0
2025-08-27,Hamburg,19.9,0.1,14.9,0,0,0.0
2025-08-28,Hamburg,19.0,4.3,9.4,0,0,0.0
2025-08-29,Hamburg,18.7,0.0,13.9,0,0,0.0
2025-08-30,Hamburg,18.4,0.6,19.2,0,0,0.0
2025-08-31,Hamburg,19.9,0.0,14.9,0,0,0.0
2025-09-01,Hamburg,18.8,1.9,17.6,0,0,0.0
2025-09-02,Hamburg,17.9,0.8,15.7,0,0,0.0
2025-09-03,Hamburg,19.2,0.0,22.1,0,0,0.0
2025-09-04,Hamburg,20.9,0.6,18.7,0,0,0.0
2025-09-05,Hamburg,17.7,5.2,15.9,0,0,0.0
2025-09-06,Hamburg,16.6,0.0,9.3,0,0,0.0
2025-09-07,Hamburg,17.4,0.0,16.4,0,0,0.0
2025-09-08,Hamburg,18.1,0.0,14.8,0,0,0.0
2025-09-09,Hamburg,17.6,0.9,11.6,0,0,0.0
2025-09-10,Hamburg,16.9,0.1,8.6,0,0,0.0
2025-09-11,Hamburg,15.9,0.8,20.6,0,0,0.0
2025-09-12,Hamburg,14.9,0.7,22.8,0,0,0.0
2025-09-13,Hamburg,14.1,5.6,17.1,0,0,0.0
2025-09-14,Hamburg,14.3,0.3,15.2,0,0,0.0
2025-09-15,Hamburg,15.8,17.0,27.4,0,0,0.0
2025-09-16,Hamburg,14.6,7.8,30.0,0,0,0.0
2025-09-17,Hamburg,14.2,0.5,24.5,0,0,0.0
2025-09-18,Hamburg,17.2,5.7,24.0,0,0,0.0
2025-09-19,Hamburg,18.7,0.0,18.5,0,0,0.0
2025-09-20,Hamburg,19.8,0.2,15.2,0,0,0.0
2025-09-21,Hamburg,17.2,1.1,30.1,0,0,0.0
2025-09-22,Hamburg,12.0,0.0,15.3,0,0,0.0
2025-09-23,Hamburg,11.5,0.3,10.6,0,0,0.0
2025-09-24,Hamburg,11.3,0.0,17.4,0,0,0.0
2025-09-25,Hamburg,11.7,0.0,21.1,0,0,0.0
2025-09-26,Hamburg,12.0,0.0,18.4,0,0,0.0
2025-09-27,Hamburg,13.7,0.0,14.8,0,0,0.0
2025-09-28,Hamburg,14.3,0.0,11.3,0,0,0.0
2025-09-29,Hamburg,12.4,0.0,10.9,0,0,0.0
2025-09-30,Hamburg,11.9,0.0,11.0,0,0,0.0
2025-10-01,Hamburg,9.3,0.0,10.8,0,0,0.0
2025-10-02,Hamburg,9.5,0.0,12.1,0,0,0.0
2025-10-03,Hamburg,10.1,0.0,20.2,0,0,0.0
2025-10-04,Hamburg,10.9,27.7,29.7,0,0,0.0
2025-10-05,Hamburg,11.2,6.5,31.0,0,0,0.0
2025-10-06,Hamburg,12.8,0.9,24.2,0,0,0.0
2025-10-07,Hamburg,14.0,1.9,13.8,0,0,0.0
2025-10-08,Hamburg,14.2,1.9,12.9,0,0,0.0
2025-10-09,Hamburg,12.6,0.3,18.6,0,0,0.0
2025-10-10,Hamburg,14.0,0.5,22.5,0,0,0.0
2025-10-11,Hamburg,14.1,0.1,21.8,0,0,0.0
2025-10-12,Hamburg,13.5,0.0,18.9,0,0,0.0
2025-10-13,Hamburg,12.0,0.0,8.9,0,0,0.0
2025-10-14,Hamburg,12.6,0.2,15.0,0,0,0.0
2025-10-15,Hamburg,12.0,0.8,11.8,0,0,0.0
2025-10-16,Hamburg,12.1,0.5,16.7,0,0,0.0
2025-10-17,Hamburg,10.6,0.0,18.8,0,0,0.0
2025-10-18,Hamburg,6.6,0.0,11.7,0,0,0.0
2025-10-19,Hamburg,5.9,0.0,17.8,0,0,0.0
2025-10-20,Hamburg,7.9,2.3,18.8,0,0,0.0
2025-10-21,Hamburg,12.1,1.9,22.0,0,0,0.0
2025-10-22,Hamburg,12.0,0.7,16.7,0,0,0.0
2025-10-23,Hamburg,11.9,8.5,21.9,0,0,0.0
2025-10-24,Hamburg,10.2,1.5,37.8,0,0,0.0
2025-10-25,Hamburg,8.8,9.7,25.0,0,0,0.0
2025-10-26,Hamburg,7.6,11.0,32.6,0,0,0.0
2025-10-27,Hamburg,7.8,5.4,23.3,0,0,0.0
2025-10-28,Hamburg,8.7,7.2,24.7,0,0,0.0
2025-10-29,Hamburg,10.3,0.0,21.8,0,0,0.0
2025-10-30,Hamburg,10.2,9.9,29.5,0,0,0.0
2025-10-31,Hamburg,8.2,0.0,13.8,0,0,0.0
2025-11-01,Hamburg,10.5,3.2,17.6,0,0,0.0
2025-11-02,Hamburg,10.0,0.2,15.8,0,0,0.0
2025-11-03,Hamburg,9.4,0.7,20.1,0,0,0.0
2025-11-04,Hamburg,12.8,0.0,19.6,0,0,0.0
2025-11-05,Hamburg,12.0,0.0,12.6,0,0,0.0
2025-11-06,Hamburg,8.7,0.0,13.0,0,0,0.0
2025-11-07,Hamburg,6.3,0.0,10.2,0,0,0.0
2025-11-08,Hamburg,7.6,0.7,7.0,0,0,0.0
2025-11-09,Hamburg,7.6,0.0,7.1,0,0,0.0
2025-11-10,Hamburg,8.2,0.0,11.3,0,0,0.0
2025-11-11,Hamburg,8.2,1.2,15.6,0,0,0.0
2025-11-12,Hamburg,9.5,0.0,16.2,0,0,0.0
2025-11-13,Hamburg,12.0,0.0,20.5,0,0,0.0
2025-11-14,Hamburg,8.6,20.1,16.5,0,0,0.0
2025-11-15,Hamburg,6.0,8.7,20.2,0,0,0.0
2025-11-16,Hamburg,5.2,2.4,16.1,0,0,0.0
2025-11-17,Hamburg,3.9,0.8,15.0,0,0,0.0
2025-11-18,Hamburg,3.5,1.1,17.6,0,0,0.0
2025-11-19,Hamburg,3.2,8.7,15.9,0,0,0.0
2025-11-20,Hamburg,1.2,3.8,15.3,0,0,0.0
2025-11-21,Hamburg,-0.8,0.0,9.0,0,0,0.0
2025-11-22,Hamburg,0.1,0.0,16.1,0,0,0.0
2025-11-23,Hamburg,-0.2,0.8,21.6,0,0,0.0
2025-11-24,Hamburg,2.1,2.2,16.7,0,0,0.0
2025-11-25,Hamburg,2.2,0.0,9.4,0,0,0.0
2025-11-26,Hamburg,2.6,0.0,8.2,0,0,0.0
2025-11-27,Hamburg,2.8,2.4,20.8,0,0,0.0
2025-11-28,Hamburg,7.2,1.3,20.7,0,0,0.0
2025-11-29,Hamburg,8.0,0.0,15.9,0,0,0.0
2025-11-30,Hamburg,7.5,0.2,18.7,0,0,0.0
2025-12-01,Hamburg,4.3,0.0,18.3,0,0,0.0
2025-12-02,Hamburg,4.7,0.8,16.6,0,0,0.0
2025-12-03,Hamburg,5.7,0.2,8.6,0,0,0.0
2025-12-04,Hamburg,4.3,2.1,12.8,0,0,0.0
2025-12-05,Hamburg,1.8,0.0,10.8,0,0,0.0
2025-12-06,Hamburg,4.0,0.9,16.8,0,0,0.0
2025-12-07,Hamburg,7.4,3.9,17.5,0,0,0.0
2025-12-08,Hamburg,10.5,5.0,23.7,0,0,0.0
2025-12-09,Hamburg,11.2,7.1,15.9,0,0,0.0
2025-12-10,Hamburg,11.4,0.0,19.6,0,0,0.0
2025-12-11,Hamburg,8.5,0.0,18.4,0,0,0.0
2025-12-12,Hamburg,4.8,0.0,12.1,0,0,0.0
2025-12-13,Hamburg,7.6,0.4,16.5,0,0,0.0
2025-12-14,Hamburg,5.3,0.0,20.6,0,0,0.0
2025-12-15,Hamburg,6.1,0.0,14.6,0,0,0.0
2025-12-16,Hamburg,5.6,0.0,13.8,0,0,0.0
2025-12-17,Hamburg,5.9,0.0,12.1,0,0,0.0
2025-12-18,Hamburg,7.7,0.0,17.5,0,0,0.0
2025-12-19,Hamburg,9.8,1.2,18.4,0,0,0.0
2025-12-20,Hamburg,4.4,0.0,11.2,0,0,0.0
2025-12-21,Hamburg,5.5,0.0,16.3,0,0,0.0
2025-12-22,Hamburg,4.1,0.0,18.0,0,0,0.0
2025-12-23,Hamburg,2.0,0.0,19.1,0,0,0.0
2025-12-24,Hamburg,0.5,0.0,16.7,0,0,0.0
2025-12-25,Hamburg,-3.7,0.0,13.8,0,0,0.0
2025-12-26,Hamburg,-3.5,0.0,7.3,0,0,0.0
2025-12-27,Hamburg,2.2,0.0,18.7,0,0,0.0
2025-12-28,Hamburg,-0.9,0.0,20.4,0,0,0.0
2025-12-29,Hamburg,3.8,0.2,18.6,0,0,0.0
2025-12-30,Hamburg,-0.6,0.2,13.7,0,0,0.0
2025-12-31,Hamburg,2.7,3.1,25.1,0,0,0.0
2026-01-01,Hamburg,2.8,8.4,32.6,0,0,0.0
2026-01-02,Hamburg,0.9,17.6,31.2,0,0,0.0
2026-01-03,Hamburg,-1.4,4.3,23.0,0,0,0.0
2026-01-04,Hamburg,-3.5,1.9,16.3,0,0,0.0
2026-01-05,Hamburg,-2.2,0.7,15.9,0,0,0.0
2026-01-06,Hamburg,-1.5,2.4,15.1,0,0,0.0
2026-01-07,Hamburg,-2.2,0.5,18.8,0,0,0.0
2026-01-08,Hamburg,-0.9,4.4,16.9,0,0,0.0
2026-01-09,Hamburg,-3.0,4.9,34.3,0,0,0.0
2026-01-10,Hamburg,-3.4,0.0,27.1,0,0,0.0
2026-01-11,Hamburg,-10.4,0.0,10.3,0,0,0.0
2026-01-12,Hamburg,-2.4,2.4,17.1,0,0,0.0
2026-01-13,Hamburg,2.8,2.5,13.9,0,0,0.0
2026-01-14,Hamburg,3.0,8.8,15.3,0,0,0.0
2026-01-15,Hamburg,2.5,0.0,14.9,0,0,0.0
2026-01-16,Hamburg,4.9,0.0,19.3,0,0,0.0
2026-01-17,Hamburg,2.0,0.0,16.9,0,0,0.0
2026-01-18,Hamburg,2.1,0.0,16.1,0,0,0.0
2026-01-19,Hamburg,-0.5,0.0,13.5,0,0,0.0
2026-01-20,Hamburg,-2.2,0.0,11.1,0,0,0.0
2026-01-21,Hamburg,-2.9,0.0,13.3,0,0,0.0
2026-01-22,Hamburg,-2.9,0.0,18.0,0,0,0.0
2026-01-23,Hamburg,-4.2,0.0,22.5,0,0,0.0
2026-01-24,Hamburg,-3.1,1.8,16.6,0,0,0.0
2026-01-25,Hamburg,-1.7,0.2,16.0,0,0,0.0
2026-01-26,Hamburg,0.1,9.6,17.3,0,0,0.0
2026-01-27,Hamburg,-0.2,0.1,15.6,0,0,0.0
2026-01-28,Hamburg,0.0,0.0,19.5,0,0,0.0
2026-01-29,Hamburg,-0.7,0.0,16.9,0,0,0.0
2026-01-30,Hamburg,-2.2,1.9,19.8,0,0,0.0
2026-01-31,Hamburg,-2.5,0.0,21.1,0,0,0.0
2026-02-01,Hamburg,-5.8,0.0,21.1,0,0,0.0
2026-02-02,Hamburg,-7.1,0.0,20.2,0,0,0.0
2023-02-02,Antwerp,8.2,0.4,27.7,0,0,0.0
2023-02-03,Antwerp,9.1,0.4,26.1,0,0,0.0
2023-02-04,Antwerp,8.0,0.4,16.6,0,0,0.0
2023-02-05,Antwerp,6.6,1.8,31.6,0,0,0.0
2023-02-06,Antwerp,3.2,0.0,13.2,0,0,0.0
2023-02-07,Antwerp,0.7,0.0,9.9,0,0,0.0
2023-02-08,Antwerp,-0.0,0.0,10.2,0,0,0.0
2023-02-09,Antwerp,1.7,0.0,13.8,0,0,0.0
2023-02-10,Antwerp,3.8,0.1,18.8,0,0,0.0
2023-02-11,Antwerp,6.2,0.3,16.8,0,0,0.0
2023-02-12,Antwerp,6.3,0.0,8.4,0,0,0.0
2023-02-13,Antwerp,5.7,0.0,9.8,0,0,0.0
2023-02-14,Antwerp,5.0,0.0,9.0,0,0,0.0
2023-02-15,Antwerp,4.8,0.0,13.8,0,0,0.0
2023-02-16,Antwerp,7.2,0.9,22.1,0,0,0.0
2023-02-17,Antwerp,10.6,0.3,36.0,0,0,0.0
2023-02-18,Antwerp,10.3,1.4,37.3,0,0,0.0
2023-02-19,Antwerp,8.6,1.3,25.1,0,0,0.0
2023-02-20,Antwerp,7.5,0.2,27.7,0,0,0.0
2023-02-21,Antwerp,6.9,0.0,15.8,0,0,0.0
2023-02-22,Antwerp,6.6,1.0,16.9,0,0,0.0
2023-02-23,Antwerp,7.2,1.9,15.3,0,0,0.0
2023-02-24,Antwerp,4.1,1.3,24.8,0,0,0.0
2023-02-25,Antwerp,4.3,0.4,22.8,0,0,0.0
2023-02-26,Antwerp,1.6,0.0,26.0,0,0,0.0
2023-02-27,Antwerp,1.6,0.0,20.7,0,0,0.0
2023-02-28,Antwerp,1.5,0.2,19.6,0,0,0.0
2023-03-01,Antwerp,1.0,0.0,16.3,0,0,0.0
2023-03-02,Antwerp,2.6,0.0,16.1,0,0,0.0
2023-03-03,Antwerp,2.6,0.0,15.6,0,0,0.0
2023-03-04,Antwerp,5.0,0.4,17.0,0,0,0.0
2023-03-05,Antwerp,4.0,3.7,13.3,0,0,0.0
2023-03-06,Antwerp,4.0,1.2,25.2,0,0,0.0
2023-03-07,Antwerp,3.4,12.8,24.5,0,0,0.0
2023-03-08,Antwerp,1.5,10.7,20.8,0,0,0.0
2023-03-09,Antwerp,4.7,8.7,26.5,0,0,0.0
2023-03-10,Antwerp,6.5,15.8,37.9,0,0,0.0
2023-03-11,Antwerp,2.6,0.0,13.8,0,0,0.0
2023-03-12,Antwerp,7.9,1.0,29.7,0,0,0.0
2023-03-13,Antwerp,12.9,5.4,39.3,0,0,0.0
2023-03-14,Antwerp,7.2,6.6,28.4,0,0,0.0
2023-03-15,Antwerp,4.6,2.0,17.0,0,0,0.0
2023-03-16,Antwerp,8.7,0.7,23.8,0,0,0.0
2023-03-17,Antwerp,12.1,0.0,17.0,0,0,0.0
2023-03-18,Antwerp,11.3,2.4,23.1,0,0,0.0
2023-03-19,Antwerp,9.4,2.2,17.5,0,0,0.0
2023-03-20,Antwerp,7.3,1.2,20.3,0,0,0.0
2023-03-21,Antwerp,10.7,0.8,26.5,0,0,0.0
2023-03-22,Antwerp,10.2,3.2,34.0,0,0,0.0
2023-03-23,Antwerp,12.5,4.8,30.5,0,0,0.0
2023-03-24,Antwerp,11.1,7.4,33.0,0,0,0.0
2023-03-25,Antwerp,9.4,8.3,35.9,0,0,0.0
2023-03-26,Antwerp,7.3,12.1,21.7,0,0,0.0
2023-03-27,Antwerp,4.8,2.3,22.8,0,0,0.0
2023-03-28,Antwerp,3.9,1.4,19.3,0,0,0.0
2023-03-29,Antwerp,10.8,0.2,19.1,0,0,0.0
2023-03-30,Antwerp,13.2,3.2,34.7,0,0,0.0
2023-03-31,Antwerp,10.6,11.8,34.6,0,0,0.0
2023-04-01,Antwerp,9.0,11.6,30.5,0,0,0.0
2023-04-02,Antwerp,6.4,0.6,21.6,0,0,0.0
2023-04-03,Antwerp,4.8,0.0,19.2,0,0,0.0
2023-04-04,Antwerp,4.5,0.0,15.5,0,0,0.0
2023-04-05,Antwerp,5.4,0.0,9.7,0,0,0.0
2023-04-06,Antwerp,6.8,9.1,21.3,0,0,0.0
2023-04-07,Antwerp,8.1,0.3,19.6,0,0,0.0
2023-04-08,Antwerp,9.0,0.5,8.2,0,0,0.0
2023-04-09,Antwerp,9.5,0.0,12.3,0,0,0.0
2023-04-10,Antwerp,10.7,4.7,24.6,0,0,0.0
2023-04-11,Antwerp,9.6,0.8,25.1,0,0,0.0
2023-04-12,Antwerp,8.9,11.4,31.0,0,0,0.0
2023-04-13,Antwerp,8.8,4.5,34.9,0,0,0.0
2023-04-14,Antwerp,8.4,0.5,19.6,0,0,0.0
2023-04-15,Antwerp,9.3,0.4,24.7,0,0,0.0
2023-04-16,Antwerp,8.4,1.1,18.4,0,0,0.0
2023-04-17,Antwerp,10.1,0.6,18.1,0,0,0.0
2023-04-18,Antwerp,9.3,0.0,24.0,0,0,0.0
2023-04-19,Antwerp,10.9,0.0,23.6,0,0,0.0
2023-04-20,Antwerp,7.9,0.9,23.6,0,0,0.0
2023-04-21,Antwerp,10.1,2.1,17.2,0,0,0.0
2023-04-22,Antwerp,8.7,4.4,12.3,0,0,0.0
2023-04-23,Antwerp,10.9,4.3,32.9,0,0,0.0
2023-04-24,Antwerp,9.0,3.4,26.8,0,0,0.0
2023-04-25,Antwerp,7.3,0.9,20.0,0,0,0.0
2023-04-26,Antwerp,5.9,0.2,9.4,0,0,0.0
2023-04-27,Antwerp,7.9,0.2,17.8,0,0,0.0
2023-04-28,Antwerp,11.9,4.4,27.1,0,0,0.0
2023-04-29,Antwerp,10.7,0.4,15.8,0,0,0.0
2023-04-30,Antwerp,11.7,0.0,13.0,0,0,0.0
2023-05-01,Antwerp,13.1,3.9,17.8,0,0,0.0
2023-05-02,Antwerp,10.4,0.0,15.7,0,0,0.0
2023-05-03,Antwerp,9.7,0.0,16.4,0,0,0.0
2023-05-04,Antwerp,14.8,4.3,18.0,0,0,0.0
2023-05-05,Antwerp,14.6,5.7,18.8,0,0,0.0
2023-05-06,Antwerp,14.2,1.9,11.2,0,0,0.0
2023-05-07,Antwerp,14.4,11.8,10.6,0,0,0.0
2023-05-08,Antwerp,13.9,0.2,13.6,0,0,0.0
2023-05-09,Antwerp,13.6,18.0,16.7,0,0,0.0
2023-05-10,Antwerp,12.8,5.6,15.3,0,0,0.0
2023-05-11,Antwerp,12.6,3.8,14.2,0,0,0.0
2023-05-12,Antwerp,14.1,12.6,23.0,0,0,0.0
2023-05-13,Antwerp,15.7,0.5,21.0,0,0,0.0
2023-05-14,Antwerp,13.5,0.4,19.7,0,0,0.0
2023-05-15,Antwerp,10.7,2.8,24.7,0,0,0.0
2023-05-16,Antwerp,10.5,0.1,21.6,0,0,0.0
2023-05-17,Antwerp,10.9,0.0,21.3,0,0,0.0
2023-05-18,Antwerp,10.2,0.0,13.5,0,0,0.0
2023-05-19,Antwerp,12.9,0.0,19.1,0,0,0.0
2023-05-20,Antwerp,15.3,0.0,23.9,0,0,0.0
2023-05-21,Antwerp,16.2,0.2,18.7,0,0,0.0
2023-05-22,Antwerp,15.0,0.3,18.9,0,0,0.0
2023-05-23,Antwerp,13.3,0.0,22.3,0,0,0.0
2023-05-24,Antwerp,11.7,0.6,16.4,0,0,0.0
2023-05-25,Antwerp,13.1,0.1,19.1,0,0,0.0
2023-05-26,Antwerp,13.0,0.0,20.9,0,0,0.0
2023-05-27,Antwerp,14.8,0.0,16.0,0,0,0.0
2023-05-28,Antwerp,16.7,0.0,23.4,0,0,0.0
2023-05-29,Antwerp,14.0,0.0,22.5,0,0,0.0
2023-05-30,Antwerp,13.8,0.0,22.1,0,0,0.0
2023-05-31,Antwerp,17.1,0.0,20.9,0,0,0.0
2023-06-01,Antwerp,14.5,0.0,22.0,0,0,0.0
2023-06-02,Antwerp,13.9,0.0,20.4,0,0,0.0
2023-06-03,Antwerp,16.9,0.0,20.8,0,0,0.0
2023-06-04,Antwerp,17.3,0.0,20.5,0,0,0.0
2023-06-05,Antwerp,16.7,0.0,21.6,0,0,0.0
2023-06-06,Antwerp,16.9,0.0,19.4,0,0,0.0
2023-06-07,Antwerp,18.1,0.1,17.1,0,0,0.0
2023-06-08,Antwerp,19.4,0.0,18.5,0,0,0.0
2023-06-09,Antwerp,22.8,0.0,18.6,0,0,0.0
2023-06-10,Antwerp,25.0,0.0,19.8,0,0,0.0
2023-06-11,Antwerp,25.2,0.1,15.2,0,0,0.0
2023-06-12,Antwerp,25.1,0.0,19.6,0,0,0.0
2023-06-13,Antwerp,24.0,0.0,18.2,0,0,0.0
2023-06-14,Antwerp,22.1,0.0,18.2,0,0,0.0
2023-06-15,Antwerp,21.5,0.1,14.2,0,0,0.0
2023-06-16,Antwerp,21.2,0.0,14.5,0,0,0.0
2023-06-17,Antwerp,21.8,0.0,10.0,0,0,0.0
2023-06-18,Antwerp,21.1,11.0,17.4,0,0,0.0
2023-06-19,Antwerp,21.0,0.4,22.0,0,0,0.0
2023-06-20,Antwerp,22.1,15.4,16.0,0,0,0.0
2023-06-21,Antwerp,20.9,0.8,17.0,0,0,0.0
2023-06-22,Antwerp,19.3,11.3,16.8,0,0,0.0
2023-06-23,Antwerp,20.1,0.2,12.2,0,0,0.0
2023-06-24,Antwerp,20.3,0.0,10.6,0,0,0.0
2023-06-25,Antwerp,23.7,0.0,15.1,0,0,0.0
2023-06-26,Antwerp,20.2,0.0,22.4,0,0,0.0
2023-06-27,Antwerp,18.7,0.2,15.9,0,0,0.0
2023-06-28,Antwerp,19.3,0.2,14.8,0,0,0.0
2023-06-29,Antwerp,19.3,0.8,20.2,0,0,0.0
2023-06-30,Antwerp,17.7,0.1,22.5,0,0,0.0
2023-07-01,Antwerp,18.1,3.8,25.9,0,0,0.0
2023-07-02,Antwerp,18.0,0.1,26.7,0,0,0.0
2023-07-03,Antwerp,17.2,0.0,32.7,0,0,0.0
2023-07-04,Antwerp,17.2,0.9,24.5,0,0,0.0
2023-07-05,Antwerp,16.2,5.3,37.3,0,0,0.0
2023-07-06,Antwerp,16.9,0.2,15.8,0,0,0.0
2023-07-07,Antwerp,20.9,0.0,15.0,0,0,0.0
2023-07-08,Antwerp,24.1,0.0,15.5,0,0,0.0
2023-07-09,Antwerp,22.5,1.7,22.4,0,0,0.0
2023-07-10,Antwerp,20.6,0.2,14.2,0,0,0.0
2023-07-11,Antwerp,22.0,0.6,22.9,0,0,0.0
2023-07-12,Antwerp,19.0,6.5,26.0,0,0,0.0
2023-07-13,Antwerp,17.9,0.8,21.1,0,0,0.0
2023-07-14,Antwerp,19.8,0.1,21.5,0,0,0.0
2023-07-15,Antwerp,21.6,4.3,28.9,0,0,0.0
2023-07-16,Antwerp,18.5,1.9,34.2,0,0,0.0
2023-07-17,Antwerp,17.7,3.6,23.3,0,0,0.0
2023-07-18,Antwerp,18.6,0.0,11.1,0,0,0.0
2023-07-19,Antwerp,18.0,1.7,22.0,0,0,0.0
2023-07-20,Antwerp,17.6,1.5,14.2,0,0,0.0
2023-07-21,Antwerp,16.9,2.4,21.6,0,0,0.0
2023-07-22,Antwerp,16.7,1.8,25.4,0,0,0.0
2023-07-23,Antwerp,17.9,4.4,34.8,0,0,0.0
2023-07-24,Antwerp,17.7,14.9,20.9,0,0,0.0
2023-07-25,Antwerp,15.8,0.8,18.6,0,0,0.0
2023-07-26,Antwerp,16.6,0.3,18.8,0,0,0.0
2023-07-27,Antwerp,17.4,14.6,28.4,0,0,0.0
2023-07-28,Antwerp,19.4,2.0,19.4,0,0,0.0
2023-07-29,Antwerp,18.5,15.4,24.1,0,0,0.0
2023-07-30,Antwerp,17.1,6.3,33.2,0,0,0.0
2023-07-31,Antwerp,17.3,12.3,31.2,0,0,0.0
2023-08-01,Antwerp,17.2,1.2,30.0,0,0,0.0
2023-08-02,Antwerp,17.9,11.3,33.8,0,0,0.0
2023-08-03,Antwerp,16.4,17.4,37.0,0,0,0.0
2023-08-04,Antwerp,16.2,0.6,19.9,0,0,0.0
2023-08-05,Antwerp,14.8,4.0,22.7,0,0,0.0
2023-08-06,Antwerp,14.4,10.0,35.8,0,0,0.0
2023-08-07,Antwerp,15.6,3.3,25.4,0,0,0.0
2023-08-08,Antwerp,15.5,5.9,24.9,0,0,0.0
2023-08-09,Antwerp,17.0,2.3,18.1,0,0,0.0
2023-08-10,Antwerp,18.6,0.0,10.0,0,0,0.0
2023-08-11,Antwerp,20.3,2.2,14.8,0,0,0.0
2023-08-12,Antwerp,20.1,11.1,22.1,0,0,0.0
2023-08-13,Antwerp,18.7,2.0,19.1,0,0,0.0
2023-08-14,Antwerp,20.0,0.0,14.0,0,0,0.0
2023-08-15,Antwerp,19.5,1.0,17.0,0,0,0.0
2023-08-16,Antwerp,19.4,0.0,14.8,0,0,0.0
2023-08-17,Antwerp,19.1,0.2,15.2,0,0,0.0
2023-08-18,Antwerp,21.5,0.0,13.3,0,0,0.0
2023-08-19,Antwerp,23.4,0.1,18.5,0,0,0.0
2023-08-20,Antwerp,21.0,0.0,14.1,0,0,0.0
2023-08-21,Antwerp,21.1,0.0,11.3,0,0,0.0
2023-08-22,Antwerp,19.7,0.0,11.7,0,0,0.0
2023-08-23,Antwerp,20.2,0.0,12.7,0,0,0.0
2023-08-24,Antwerp,20.8,2.1,25.0,0,0,0.0
2023-08-25,Antwerp,19.6,3.0,18.7,0,0,0.0
2023-08-26,Antwerp,16.4,3.4,25.7,0,0,0.0
2023-08-27,Antwerp,15.5,0.6,22.1,0,0,0.0
2023-08-28,Antwerp,15.9,1.0,13.4,0,0,0.0
2023-08-29,Antwerp,15.7,0.8,15.0,0,0,0.0
